dim,value,model,n,mae,rmse,wape,bias,bias_pct,sum_actual,sum_forecast
belief_source,true_odds,ema,11335,862.5707698279664,1208.9842928997768,0.3393245922092367,-53.04627595941773,-0.020867743943766913,28813825.759999998,28212546.222000003
belief_source,true_odds,persist,11335,946.3397379797088,1330.380422635726,0.372278260420771,-9.718005293339223,-0.0038229421846826582,28813825.759999998,28703672.169999998
book,1H · handicap,ema,936,1186.569047008547,1515.418415933718,0.3073392477779393,-363.0409252136752,-0.09403306545798874,3613689.55,3273883.244
book,1H · handicap,persist,936,1326.645844017094,1714.3361615047504,0.34362124715444914,-215.5288141025641,-0.05582520778521214,3613689.55,3411954.58
book,1H · totals,ema,2340,1250.628411111111,1577.8636235752479,0.3098001394619648,-357.92351452991454,-0.08866323020725991,9446317.51,8608776.486
book,1H · totals,persist,2340,1386.4483547008547,1774.3055118473844,0.3434448552640276,-207.52717521367524,-0.05140771411567764,9446317.51,8960703.92
book,2H · handicap,ema,574,1367.5866602787457,1743.817435596706,0.4045477485597179,606.2100923344949,0.1793238667289375,1940425.44,2288390.033
book,2H · handicap,persist,574,1474.8532752613244,1863.7512107266402,0.43627843799038224,471.5564808362369,0.13949179103733042,1940425.44,2211098.86
book,2H · totals,ema,1440,1424.150942361111,1787.391503901772,0.41384586074944446,599.7285479166666,0.17427589291701268,4955413.4799999995,5819022.589000001
book,2H · totals,persist,1440,1499.4270555555556,1892.914937271717,0.43572044365508733,473.14180555555555,0.13749088804593582,4955413.4799999995,5636737.680000001
book,prematch · handicap,ema,1725,468.3561304347826,596.6024042551704,0.3254646115296447,-101.73644231884059,-0.07069750885287118,2482341.54,2306846.177
book,prematch · handicap,persist,1725,524.6160405797101,662.9083515898666,0.36456009594876293,-58.795043478260865,-0.04085716988001586,2482341.54,2380920.09
book,prematch · totals,ema,4320,485.2903104166666,614.7280369427348,0.32882263109708687,-106.48392291666666,-0.07215129367189431,6375638.239999999,5915627.693
book,prematch · totals,persist,4320,539.3583009259258,685.9747258212958,0.36545797805491553,-63.28268518518519,-0.04287903260960416,6375638.239999999,6102257.04
clock_bin,live 0-15m,ema,756,1318.643275132275,1620.2833087771462,0.4105322342531946,-1170.0795317460318,-0.36427999405179917,2428297.3,1543717.1739999999
clock_bin,live 0-15m,persist,756,1203.6426190476188,1516.3657313181861,0.37472916516441374,-797.2410317460317,-0.24820445997283766,2428297.3,1825583.08
clock_bin,live 15-30m,ema,756,1178.2135436507938,1491.8604889714115,0.28515164024386147,-339.6025806878307,-0.08219073141369758,3123704.42,2866964.869
clock_bin,live 15-30m,persist,756,1325.9473280423279,1674.3359291591637,0.3209062206980518,-82.83402116402117,-0.02004751781220054,3123704.42,3061081.9000000004
clock_bin,live 30-45m,ema,756,1251.2616362433862,1602.7883471330827,0.29375424768893543,-61.000130952380935,-0.01432078396540698,3220221.68,3174105.5810000002
clock_bin,live 30-45m,persist,756,1494.9406216931216,1940.3026652119775,0.350961897132498,-57.36797619047619,-0.0134680758996691,3220221.68,3176851.49
clock_bin,live 45-60m,ema,1512,1200.5355165343915,1543.4838663715736,0.2829045552911828,9.341816798941798,0.002201386373595652,6416332.53,6430457.357000001
clock_bin,live 45-60m,persist,1512,1423.1618584656085,1835.5077417644366,0.33536614879902427,11.593273809523806,0.002731939144057942,6416332.53,6433861.56
clock_bin,live 60-75m,ema,754,1201.2099986737398,1568.081157337708,0.28724574800260205,35.696563660477466,0.008536131185302802,3153092.2399999998,3180007.449
clock_bin,live 60-75m,persist,754,1463.856724137931,1892.2090741790937,0.3500525471465434,18.71226790450927,0.0044746708710303425,3153092.2399999998,3167201.2899999996
clock_bin,live 75-90m,ema,756,1743.8778015873015,2075.210138176073,0.8167348572973222,1561.6694603174603,0.7313986580120563,1614197.81,2794819.9220000003
clock_bin,live 75-90m,persist,756,1578.9108333333331,1915.370767845846,0.7394735531204815,1245.658611111111,0.5833968452726371,1614197.81,2555915.7199999997
clock_bin,pre 15-0m,ema,756,436.90037169312166,551.9819928198536,0.2944588063769917,-11.399712962962957,-0.007683092278237182,1121707.5999999999,1113089.417
clock_bin,pre 15-0m,persist,756,521.6257142857143,652.0906601957662,0.3515613516392329,-7.427698412698412,-0.005006063968898922,1121707.5999999999,1116092.2599999998
clock_bin,pre 2-1h,ema,3021,522.4389612711024,658.2190622326041,0.3646052418995213,-211.7029652432969,-0.1477455101464457,4328758.67,3689204.012
clock_bin,pre 2-1h,persist,3021,548.8737073816617,696.3182289790402,0.38305380281225054,-123.91321085733199,-0.08647786548932296,4328758.67,3954416.8599999994
clock_bin,pre 60-15m,ema,2268,439.058061287478,558.4360288355637,0.2922317637414151,5.585066578483245,0.0037173531265029085,3407513.5100000002,3420180.4409999996
clock_bin,pre 60-15m,persist,2268,521.3818430335097,665.55613699964,0.347025482519657,2.2727072310405676,0.0015126865924001969,3407513.5100000002,3412668.01
domain,corner,ema,3240,847.7175768518518,1177.920518770802,0.3455945648775665,-50.79761820987654,-0.020708997007298002,7947477.27,7782892.987000001
domain,corner,persist,3240,935.4940432098766,1310.0694372724327,0.38137897058748055,-8.935259259259265,-0.0036426955392851717,7947477.27,7918527.03
domain,goal,ema,8095,868.5157167387277,1221.196072824803,0.3369365143292496,-53.946294626312536,-0.02092820673484317,20866348.490000002,20429653.235
domain,goal,persist,8095,950.6806954910439,1338.4234660614252,0.36881202447510736,-10.031297096973448,-0.0038915936843917573,20866348.490000002,20785145.14
event_window,post_corner_5,ema,504,1210.5156666666667,1561.224527346445,0.2941929512996348,-343.77982142857144,-0.08354918738212619,2073808.6800000002,1900543.6500000004
event_window,post_corner_5,persist,504,1306.4883134920638,1689.9987670548828,0.31751728901047904,-148.5450992063492,-0.0361010785237913,2073808.6800000002,1998941.9500000002
event_window,post_goal_15,ema,1008,1233.5266726190475,1571.6155324439844,0.30299627459260225,5.542154761904757,0.0013613424689937173,4103663.94,4109250.432
event_window,post_goal_15,persist,1008,1465.3853373015872,1883.098046030079,0.35994868039803474,48.219226190476164,0.011844288594450544,4103663.94,4152268.92
event_window,post_goal_5,ema,503,1250.1254930417495,1617.095977740072,0.3052221507576557,-147.05359244532806,-0.035903606488011934,2060181.81,1986213.853
event_window,post_goal_5,persist,503,1452.8942743538769,1877.90394252917,0.3547287993965931,-10.015347912524827,-0.00244527933192458,2060181.81,2055144.09
event_window,prematch,ema,6045,480.45797617866003,609.6106645412756,0.32788158678772683,-105.12918279569891,-0.07174388808550677,8857979.780000001,8222473.869999999
event_window,prematch,persist,6045,535.1514524400329,679.4723575903922,0.36520635747037106,-62.002092638544255,-0.04231243006969273,8857979.780000001,8483177.129999999
event_window,quiet,ema,3275,1340.630016793893,1684.025434224432,0.3746792571418582,84.2359899236641,0.02354227321023769,11718191.55,11994064.417
event_window,quiet,persist,3275,1412.3316183206107,1789.1395242721978,0.39471841966945825,90.36596335877861,0.025255478094655254,11718191.55,12014140.08
