dim,value,n,turnover,dividend,realized_gm,expected_gm,realized_margin,expected_margin,margin_gap,settled_turnover
belief_source,true_odds,11258,28813825.759999998,27907340.450000003,906485.31,2080137.8553507458,0.03146008161326509,0.07219235212557022,-0.04073227051230513,28813825.759999998
book,1H · handicap,935,3613689.55,4069704.95,-456015.3999999999,250255.09114551466,-0.12619108356997627,0.06925196193057444,-0.1954430455005507,3613689.55
book,1H · totals,2338,9446317.510000002,8689683.0,756634.51,738664.566077689,0.08009835676167103,0.07819603409431544,0.0019023226673555854,9446317.510000002
book,2H · handicap,556,1940425.44,2090383.1400000001,-149957.70000000007,67751.57825101323,-0.07728083589751332,0.034915836936776724,-0.11219667283429005,1940425.44
book,2H · totals,1393,4955413.4799999995,4563621.01,391792.47,385459.61654619005,0.07906352751012011,0.07778556080171742,0.0012779667084026891,4955413.4799999995
book,prematch · handicap,1721,2482341.54,2596473.0700000003,-114131.52999999994,140376.28960629672,-0.04597736780410964,0.0565499498535148,-0.10252731765762443,2482341.54
book,prematch · totals,4315,6375638.24,5897475.279999999,478162.96,497630.7137240421,0.07499844595950601,0.07805190554915206,-0.0030534595896460487,6375638.24
clock_bin,live 0-15m,754,2428297.3,2369962.21,58335.089999999975,184784.52887379465,0.024023042812756072,0.07609633666923514,-0.05207329385647907,2428297.3
clock_bin,live 15-30m,755,3123704.42,3091179.11,32525.30999999996,237044.70041369912,0.010412416037750448,0.07588576527791292,-0.06547334924016247,3123704.42
clock_bin,live 30-45m,756,3220221.68,3164414.5300000003,55807.15000000002,243961.15234749977,0.017330219949329706,0.07575911741191052,-0.058428897462580814,3220221.68
clock_bin,live 45-60m,1511,6416332.53,6194848.11,221484.42000000004,483654.9325371698,0.034518849976124914,0.07537871989579845,-0.04085986991967353,6416332.53
clock_bin,live 60-75m,754,3153092.2399999998,3078903.0599999996,74189.18000000005,169507.95029066165,0.0235290230519866,0.053759274194484605,-0.030230251142498006,3153092.2399999998
clock_bin,live 75-90m,692,1614197.81,1514085.08,100112.73000000004,123177.58755758207,0.062020112640346126,0.07630885557798028,-0.014288742937634158,1614197.81
clock_bin,pre 15-0m,754,1121707.5999999999,1094156.82,27550.780000000002,85395.43123796578,0.024561463254773354,0.0761298499162935,-0.051568386661520145,1121707.5999999999
clock_bin,pre 2-1h,3016,4328758.67,4135971.88,192786.78999999992,294649.92522671714,0.044536275800286164,0.06806799539756213,-0.023531719597275964,4328758.67
clock_bin,pre 60-15m,2266,3407513.5100000002,3263819.6500000004,143693.85999999996,257961.6468656559,0.04216971101605403,0.07570377816804486,-0.03353406715199082,3407513.5100000002
domain,corner,3216,7947477.27,7500194.21,447283.06,724440.9082189754,0.056279879111878234,0.09115356780617448,-0.034873688694296245,7947477.27
domain,goal,8042,20866348.490000002,20407146.24,459202.25,1355696.9471317704,0.02200683316585402,0.0649704929341842,-0.042963659768330185,20866348.490000002
event_window,post_corner_5,503,2073808.6800000002,2055894.7000000002,17913.979999999974,157270.68886618642,0.008638202825923157,0.07583664316912128,-0.06719844034319812,2073808.6800000002
event_window,post_goal_15,1007,4103663.94,4122536.95,-18873.01000000001,310569.3030980565,-0.004599063245905075,0.07568097866660507,-0.08028004191251015,4103663.94
event_window,post_goal_5,503,2060181.81,1979969.1,80212.70999999999,133673.0983530134,0.03893477246068879,0.06488412707275257,-0.025949354612063776,2060181.81
